source_file,invoice_number,invoice_date,supplier_name,supplier_kvk,supplier_vat,supplier_iban,customer_name,customer_city,debtor_number,article_number,description,quantity,unit_size,total_units,unit_price,discount,line_total,vat_rate,invoice_total_ex_vat,invoice_vat_total,invoice_total_inc_vat,currency,canonical_product_name,product_id
"00000005-Factuur 87557.pdf","87557","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL84INGB0007527163","CAFE UIT KIJKEN","Amsterdam","1269","B1003","BRIOCHE HAM . BR. 80 GR 30 ST","5","1","5","13.48","","67.4","9","261.6","23.54","66.24","EUR","brioche_ham_br_80_gr_30_st","brioche_ham_br_80_gr_30_st"
"00000005-Factuur 87557.pdf","87557","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL84INGB0007527163","CAFE UIT KIJKEN","Amsterdam","1269","17700","COCA COLA KRAT 24 X 0.20 CL","7","1","7","13.59","5","35","9","261.6","23.54","66.24","EUR","coca_cola_krat_24_x_0_20_cl","coca_cola_krat_24_x_0_20_cl"
"00000005-Factuur 87557.pdf","87557","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL84INGB0007527163","CAFE UIT KIJKEN","Amsterdam","1269","17744","COCA COLA ZERO KRAT 24 X 0.20","5","1","5","13.59","5","25","9","261.6","23.54","66.24","EUR","coca_cola_zero_krat_24_x_0_20","coca_cola_zero_krat_24_x_0_20"
"00000005-Factuur 87557.pdf","87557","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL84INGB0007527163","CAFE UIT KIJKEN","Amsterdam","1269","17733","FANTA ORANGE 24 X 0.20 CL","1","1","1","13.89","5","5","9","261.6","23.54","66.24","EUR","fanta_orange_24_x_0_20_cl","fanta_orange_24_x_0_20_cl"
"00000005-Factuur 87557.pdf","87557","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL84INGB0007527163","CAFE UIT KIJKEN","Amsterdam","1269","00002","M INUTE M AID APPEL 24 X 0.20 CL","1","1","1","17.23","5","5","9","261.6","23.54","66.24","EUR","m_inute_m_aid_appel_24_x_0_20_cl","m_inute_m_aid_appel_24_x_0_20_cl"
"00000005-Factuur 87557.pdf","87557","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL84INGB0007527163","CAFE UIT KIJKEN","Amsterdam","1269","03 -8","Embalage vust bier","1","-8","","0","30","-240","","261.6","23.54","66.24","EUR","embalage_vust_bier","embalage_vust_bier"
"00000005-Factuur 87557.pdf","87557","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL84INGB0007527163","CAFE UIT KIJKEN","Amsterdam","1269","01 -9","Embalage 0.20 x 24 {0.20 x 28}","1","-9","","0","5","-45","","261.6","23.54","66.24","EUR","embalage_0_20_x_24_0_20_x_28","embalage_0_20_x_24_0_20_x_28"
"00000005-Factuur 87557.pdf","87557","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL84INGB0007527163","CAFE UIT KIJKEN","Amsterdam","1269","02 -1","Embalage 0.30 x 24{0.50 x 18}","1","-1","","0","3.9","-3.9","","261.6","23.54","66.24","EUR","embalage_0_30_x_24_0_50_x_18","embalage_0_30_x_24_0_50_x_18"
"00000006-Factuur 87539.pdf","87539","2026-05-01","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","B1003","BRIOCHE HAM . BR. 80 GR 30 ST","7","1","7","13.48","","94.36","9","433.95","57.54","491.48","EUR","brioche_ham_br_80_gr_30_st","brioche_ham_br_80_gr_30_st"
"00000006-Factuur 87539.pdf","87539","2026-05-01","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","9723","ZAANSE M AYONNAISE 80% 10KG","2","1","2","30.78","","61.56","9","433.95","57.54","491.48","EUR","zaanse_m_ayonnaise_80_10kg","zaanse_m_ayonnaise_80_10kg"
"00000006-Factuur 87539.pdf","87539","2026-05-01","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","9727","TRUFFEL M AYO 2.50 KG","1","1","1","16.6","","16.6","9","433.95","57.54","491.48","EUR","truffel_m_ayo_2_50_kg","truffel_m_ayo_2_50_kg"
"00000006-Factuur 87539.pdf","87539","2026-05-01","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","0601-","PARM EZAANSE KAAS 1 KG","5.495","1","5.495","19.55","","107.43","9","433.95","57.54","491.48","EUR","parm_ezaanse_kaas_1_kg","parm_ezaanse_kaas_1_kg"
"00000006-Factuur 87539.pdf","87539","2026-05-01","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","9500+","TORK ROL 6 ST HOOG WIT","1","1","1","14","","14","21","433.95","57.54","491.48","EUR","tork_rol_6_st_hoog_wit","tork_rol_6_st_hoog_wit"
"00000006-Factuur 87539.pdf","87539","2026-05-01","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","9512","SERVETTEN 500 ST 33 CM","10","1","10","3","","30","21","433.95","57.54","491.48","EUR","servetten_500_st_33_cm","servetten_500_st_33_cm"
"00000006-Factuur 87539.pdf","87539","2026-05-01","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","155197","HANDSCHOENEN {L} ZWAART","10","1","10","5.5","","55","21","433.95","57.54","491.48","EUR","handschoenen_l_zwaart","handschoenen_l_zwaart"
"00000006-Factuur 87539.pdf","87539","2026-05-01","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","155197","HANDSCHOENEN {L x } ZWAART","10","1","10","5.5","","55","21","433.95","57.54","491.48","EUR","handschoenen_l_x_zwaart","handschoenen_l_x_zwaart"
"00000006-Factuur 87539.pdf","87539","2026-05-01","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","03","Embalage vust bier","0","1","0","0","","0","0","433.95","57.54","491.48","EUR","embalage_vust_bier","embalage_vust_bier"
"00000006-Factuur 87539.pdf","87539","2026-05-01","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","02","Embalage 0.30 x 24{0.50 x 18}","0","1","0","0","","0","0","433.95","57.54","491.48","EUR","embalage_0_30_x_24_0_50_x_18","embalage_0_30_x_24_0_50_x_18"
"00000006-Factuur 87539.pdf","87539","2026-05-01","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","01","Embalage 0.20 x 24 {0.20 x 28}","0","1","0","0","","0","0","433.95","57.54","491.48","EUR","embalage_0_20_x_24_0_20_x_28","embalage_0_20_x_24_0_20_x_28"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","9346","PATAT LAM BWES. 9 M M (F64)","4","1","4","18","","72","9","486.28","48.16","614.44","EUR","patat_lam_bwes_9_m_m_f64","patat_lam_bwes_9_m_m_f64"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","B1003","BRIOCHE HAM . BR. 80 GR 30 ST","10","1","10","13.48","","134.8","9","486.28","48.16","614.44","EUR","brioche_ham_br_80_gr_30_st","brioche_ham_br_80_gr_30_st"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","17700","COCA COLA KRAT 24 X 0.20 CL","5","1","5","13.59","5","25","9","486.28","48.16","614.44","EUR","coca_cola_krat_24_x_0_20_cl","coca_cola_krat_24_x_0_20_cl"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","17744","COCA COLA ZERO KRAT 24 X 0.20","2","1","2","13.59","5","10","9","486.28","48.16","614.44","EUR","coca_cola_zero_krat_24_x_0_20","coca_cola_zero_krat_24_x_0_20"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","4211","CHAUDFONTIANE BLAUW 24 X","3","1","3","8.88","5","15","9","486.28","48.16","614.44","EUR","chaudfontiane_blauw_24_x","chaudfontiane_blauw_24_x"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","17733","FANTA ORANGE 24 X 0.20 CL","1","1","1","13.89","5","5","9","486.28","48.16","614.44","EUR","fanta_orange_24_x_0_20_cl","fanta_orange_24_x_0_20_cl"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","4220","CHAUDFONTIANE ROOD 24 X 25","1","1","1","8.88","5","5","9","486.28","48.16","614.44","EUR","chaudfontiane_rood_24_x_25","chaudfontiane_rood_24_x_25"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","9365-","ZOUT 12 X 1 KG","1","1","1","9","","9","9","486.28","48.16","614.44","EUR","zout_12_x_1_kg","zout_12_x_1_kg"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","9342+","FRISIA FRITUUROLIE 10L","3","1","3","18.7","","56.1","9","486.28","48.16","614.44","EUR","frisia_frituurolie_10l","frisia_frituurolie_10l"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","9727","TRUFFEL M AYO 2.50 KG","2","1","2","16.6","","33.2","9","486.28","48.16","614.44","EUR","truffel_m_ayo_2_50_kg","truffel_m_ayo_2_50_kg"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","08","NED KOOLZUUR CENTRALE 10 KG","1","1","1","36.64","120","120","21","486.28","48.16","614.44","EUR","ned_koolzuur_centrale_10_kg","ned_koolzuur_centrale_10_kg"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","03","Embalage vust bier","-2","1","-2","0","30","-60","","486.28","48.16","614.44","EUR","embalage_vust_bier","embalage_vust_bier"
"00000007-Factuur 87589.pdf","87589","2026-05-08","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","CAFE UIT KIJKEN","Amsterdam","1269","01","Embalage 0.20 x 24 {0.20 x 28}","-8","1","-8","0","5","-40","","486.28","48.16","614.44","EUR","embalage_0_20_x_24_0_20_x_28","embalage_0_20_x_24_0_20_x_28"
"00000008-Factuur 87558.pdf","87558","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","FOUR ZIESOUN","Amsterdam","1432","9346","PATAT LAM BWES. 9 M M (F64)","5","1","5","18","","90","9","292.65","29.28","346.73","EUR","patat_lam_bwes_9_m_m_f64","patat_lam_bwes_9_m_m_f64"
"00000008-Factuur 87558.pdf","87558","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","FOUR ZIESOUN","Amsterdam","1432","1010","COCA COLA 24 X 0.33 CL {D}","3","1","3","12.88","","38.64","9","292.65","29.28","346.73","EUR","coca_cola_24_x_0_33_cl_d","coca_cola_24_x_0_33_cl_d"
"00000008-Factuur 87558.pdf","87558","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","FOUR ZIESOUN","Amsterdam","1432","1015","COCA COLA ZERO 24 X 0.33 CL B","3","1","3","12.88","","38.64","9","292.65","29.28","346.73","EUR","coca_cola_zero_24_x_0_33_cl_b","coca_cola_zero_24_x_0_33_cl_b"
"00000008-Factuur 87558.pdf","87558","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","FOUR ZIESOUN","Amsterdam","1432","9500+","TORK ROL 6 ST HOOG WIT","1","1","1","14","","14","21","292.65","29.28","346.73","EUR","tork_rol_6_st_hoog_wit","tork_rol_6_st_hoog_wit"
"00000008-Factuur 87558.pdf","87558","2026-05-04","Horeca Groothandel","71286969","8586.52.158 B01","NL 84 INGB 0007527163","FOUR ZIESOUN","Amsterdam","1432","9723","ZAANSE M AYONNAISE 80% 10KG","1","1","1","30.78","","30.78","9","292.65","29.28","346.73","EUR","zaanse_m_ayonnaise_80_10kg","zaanse_m_ayonnaise_80_10kg"
